#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:11814] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:11814] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 5.51 bandwidth[Mbytes/sec] = 5323.84
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,5.35,0,5.51,0
1,1000,5.44,0.18,5.51,0.18
2,1000,5.44,0.37,5.51,0.36
4,1000,5.44,0.74,5.51,0.73
8,1000,5.44,1.47,5.51,1.45
16,1000,5.44,2.94,5.51,2.9
32,1000,5.45,5.88,5.51,5.8
64,1000,5.46,11.72,5.52,11.59
128,1000,5.54,23.14,5.53,23.13
256,1000,5.57,45.99,5.56,46.07
512,1000,5.62,91.22,5.6,91.35
1024,1000,6.2,165.13,5.7,179.61
2048,1000,6.04,339.29,5.89,347.5
4096,1000,6.98,587.39,6.28,652.42
8192,1000,7.43,1103.14,7.05,1162.39
16384,1000,9.56,1714.64,8.59,1908.16
32768,1000,15.62,2098.11,11.66,2809.38
65536,640,29.51,2221.64,17.82,3677.93
131072,320,39.4,3328.1,30.13,4350.41
262144,160,54.61,4801.36,54.75,4788.15
524288,80,87.26,6009.55,103.99,5041.81
1048576,40,149.26,7026.33,202.47,5178.99
2097152,20,290.04,7233,399.43,5250.41
4194304,10,598.71,7008.05,793.34,5286.87
8388608,5,1455.29,5765.16,1581.18,5305.29
16777216,2,3161.8,5306.89,3156.85,5314.55
33554432,1,6369.89,5268.13,6308.19,5319.19
67108864,1,12739.51,5268.23,12610.86,5321.51
134217728,1,25285.65,5308.48,25216.21,5322.68
268435456,1,50515.73,5314.99,50426.92,5323.26
