#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:25228] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:05641] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.2 bandwidth[Mbytes/sec] = 12162.78
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.2,0
1,1000,0.99,1.01,1.2,0.83
2,1000,1,2,1.2,1.67
4,1000,1,4,1.2,3.34
8,1000,0.99,8.05,1.2,6.68
16,1000,0.99,16.08,1.2,13.34
32,1000,1.02,31.51,1.2,26.66
64,1000,1.14,55.88,1.2,53.2
128,1000,1.19,107.18,1.21,105.94
256,1000,1.52,172.24,1.22,210.04
512,1000,1.51,339.91,1.24,412.95
1024,1000,1.67,614.43,1.28,798.79
2048,1000,2.33,878.6,1.37,1499.12
4096,1000,3.19,1283.76,1.53,2669.24
8192,1000,4.48,1830.31,1.87,4377.75
16384,1000,6.32,2591.08,2.54,6438.19
32768,1000,8.46,3872.3,3.89,8419.59
65536,640,12.28,5335.08,6.59,9950.81
131072,320,18.49,7089.26,11.97,10946.16
262144,160,31.98,8196.32,22.75,11522.44
524288,80,54.86,9561.96,44.3,11833.95
1048576,40,97.51,10754.03,87.41,11996.11
2097152,20,183.17,11450.07,173.62,12078.87
4194304,10,352.65,11893.61,346.05,12120.68
8388608,5,692.83,12107.76,690.89,12141.69
16777216,2,1381.84,12141.19,1380.59,12152.22
33554432,1,2760.45,12155.45,2759.98,12157.5
67108864,1,5523.53,12149.65,5518.76,12160.14
134217728,1,11035.8,12162.04,11036.32,12161.46
268435456,1,22073.74,12160.85,22071.44,12162.12
