#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:06243] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:15477] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.2 bandwidth[Mbytes/sec] = 12161.73
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.2,0
1,1000,0.99,1.01,1.2,0.83
2,1000,1,2,1.2,1.66
4,1000,1,4,1.2,3.33
8,1000,0.99,8.07,1.2,6.66
16,1000,0.99,16.1,1.2,13.3
32,1000,1.01,31.75,1.2,26.58
64,1000,1.15,55.88,1.21,53.04
128,1000,1.19,107.28,1.21,105.63
256,1000,1.57,168.72,1.22,209.43
512,1000,1.51,339.91,1.24,411.78
1024,1000,1.67,614.6,1.29,796.58
2048,1000,2.33,879.71,1.37,1495.23
4096,1000,3.18,1286.38,1.54,2663.05
8192,1000,4.46,1836.11,1.87,4369.34
16384,1000,6.28,2609.38,2.55,6428.95
32768,1000,8.42,3893.52,3.9,8411.44
65536,640,12.26,5346.07,6.59,9944.77
131072,320,18.47,7097.85,11.98,10942.08
262144,160,31.98,8197.16,22.76,11519.72
524288,80,54.89,9556.29,44.31,11832.02
1048576,40,97.47,10758.18,87.42,11994.61
2097152,20,183.21,11447.63,173.64,12077.6
4194304,10,352.63,11894.47,346.08,12119.52
8388608,5,692.67,12110.62,690.96,12140.59
16777216,2,1382.19,12138.16,1380.71,12151.15
33554432,1,2759.74,12158.57,2760.22,12156.44
67108864,1,5522.59,12151.71,5519.24,12159.09
134217728,1,11033.15,12164.95,11037.27,12160.41
268435456,1,22074.65,12160.35,22073.34,12161.07
