#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:02192] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:02192] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.67 bandwidth[Mbytes/sec] = 5607.59
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.41,0,0.67,0
1,1000,0.4,2.47,0.67,1.49
2,1000,0.4,4.98,0.67,2.98
4,1000,0.4,9.94,0.67,5.96
8,1000,0.4,19.85,0.67,11.92
16,1000,0.4,39.82,0.67,23.78
32,1000,0.56,56.89,0.68,47.37
64,1000,0.56,114.91,0.68,93.94
128,1000,0.89,144.06,0.69,184.79
256,1000,0.93,275.08,0.72,357.78
512,1000,1.14,450.06,0.76,672.64
1024,1000,1.32,774.86,0.85,1201.2
2048,1000,2.1,977.41,1.04,1978.57
4096,1000,3.01,1362.76,1.4,2925.07
8192,1000,4.78,1714.92,2.13,3844.66
16384,1000,7.35,2231.62,3.59,4561.73
32768,1000,12.96,2531.94,6.51,5030.88
65536,640,23.73,2764.92,12.36,5303.6
131072,320,43.24,3036.97,24.04,5451.36
262144,160,14.31,18399.09,47.42,5528.37
524288,80,25.83,20404.51,94.17,5567.7
1048576,40,58.07,18100.12,187.66,5587.58
2097152,20,142.85,14692.94,374.65,5597.57
4194304,10,296.98,14126.78,748.64,5602.58
8388608,5,613.76,13669.8,1496.61,5605.08
16777216,2,1918.85,8747.48,2992.54,5606.34
33554432,1,5519.38,6080.31,5984.42,5606.97
67108864,1,11896.37,5641.51,11968.17,5607.28
134217728,1,23776.24,5645.23,23935.67,5607.44
268435456,1,47549.58,5645.67,47870.67,5607.51
