#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:28305] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:28305] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.67 bandwidth[Mbytes/sec] = 5589.49
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.41,0,0.67,0
1,1000,0.4,2.51,0.67,1.5
2,1000,0.4,5.04,0.67,2.99
4,1000,0.4,10.05,0.67,5.98
8,1000,0.4,20.07,0.67,11.95
16,1000,0.4,40.2,0.67,23.84
32,1000,0.56,56.88,0.67,47.48
64,1000,0.56,114.45,0.68,94.16
128,1000,0.89,143.55,0.69,185.19
256,1000,0.95,269.75,0.71,358.51
512,1000,1.15,445.13,0.76,673.8
1024,1000,1.33,771.09,0.85,1202.62
2048,1000,2.11,972.1,1.03,1979.37
4096,1000,3.03,1354.12,1.4,2923.47
8192,1000,4.82,1700.82,2.13,3839.01
16384,1000,7.48,2192.54,3.6,4551.76
32768,1000,13.1,2504.9,6.53,5017.53
65536,640,23.8,2757.59,12.39,5288.08
131072,320,43.63,3009.58,24.12,5434.61
262144,160,14.11,18642.33,47.57,5510.96
524288,80,25.91,20350.81,94.47,5549.94
1048576,40,58.14,18075.48,188.27,5569.64
2097152,20,142.91,14685.34,375.86,5579.55
4194304,10,299.2,14022.98,751.06,5584.51
8388608,5,620.07,13530.33,1501.45,5587
16777216,2,1924.6,8718.74,3002.24,5588.24
33554432,1,5562.77,6032.93,6003.8,5588.86
67108864,1,11918.56,5630.97,12006.94,5589.17
134217728,1,23882.17,5620.37,24013.21,5589.33
268435456,1,47711.69,5626.62,48025.75,5589.41
