#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --mca btl_tcp_if_include br0 --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:16878] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:16878] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.67 bandwidth[Mbytes/sec] = 5609.91
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.41,0,0.67,0
1,1000,0.4,2.5,0.67,1.49
2,1000,0.4,5.02,0.67,2.98
4,1000,0.4,10.02,0.67,5.97
8,1000,0.4,19.99,0.67,11.92
16,1000,0.4,40.01,0.67,23.79
32,1000,0.56,57.02,0.68,47.38
64,1000,0.56,114.88,0.68,93.96
128,1000,0.89,143.54,0.69,184.82
256,1000,0.93,274.82,0.72,357.86
512,1000,1.13,452.79,0.76,672.8
1024,1000,1.33,768.25,0.85,1201.5
2048,1000,2.1,977.06,1.03,1979.12
4096,1000,3,1363.45,1.4,2925.99
8192,1000,4.78,1715.43,2.13,3846
16384,1000,7.33,2236.6,3.59,4563.43
32768,1000,12.95,2532.9,6.51,5032.85
65536,640,23.7,2767.46,12.35,5305.73
131072,320,43.18,3039.83,24.03,5453.58
262144,160,14.1,18652.63,47.4,5530.64
524288,80,25.36,20778.33,94.13,5569.99
1048576,40,57.39,18310.38,187.58,5589.88
2097152,20,142.07,14774.9,374.5,5599.88
4194304,10,297.21,14115.09,748.33,5604.89
8388608,5,613.17,13682.53,1495.99,5607.4
16777216,2,1922.64,8727.92,2991.31,5608.65
33554432,1,5520.79,6078.62,5981.95,5609.28
67108864,1,11871.67,5653.24,11963.23,5609.6
134217728,1,23810.01,5637.23,23925.78,5609.75
268435456,1,47521.61,5648.9,47850.9,5609.83
