#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:30022] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:30022] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 5.87 bandwidth[Mbytes/sec] = 4232.63
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,5.54,0,5.87,0
1,1000,5.58,0.18,5.88,0.17
2,1000,5.57,0.36,5.88,0.34
4,1000,5.58,0.73,5.88,0.68
8,1000,6.12,1.45,5.88,1.36
16,1000,7.22,2.89,5.88,2.72
32,1000,5.96,5.8,5.88,5.44
64,1000,6,11.58,5.89,10.87
128,1000,6.19,22.85,5.91,21.68
256,1000,5.62,45.85,5.94,43.13
512,1000,6.02,90.66,6,85.39
1024,1000,6.3,163.67,6.12,167.41
2048,1000,6.17,336.09,6.36,322.08
4096,1000,7.07,582.3,6.84,598.6
8192,1000,7.53,1092.47,7.81,1048.87
16384,1000,11.01,1686.64,9.75,1681.14
32768,1000,15.96,2067.76,13.62,2406.47
65536,640,30.51,2160.11,21.36,3068.4
131072,320,43.55,3037.75,36.84,3557.69
262144,160,63.75,4194.85,67.81,3865.92
524288,80,98.15,5440.01,129.74,4040.98
1048576,40,165,6505.19,253.61,4134.58
2097152,20,311.39,6783.6,501.35,4183.03
4194304,10,612.4,6852.08,996.82,4207.69
8388608,5,1470.53,5705.39,1987.76,4220.12
16777216,2,3172.97,5288.3,3969.65,4226.37
33554432,1,6378.25,5261.31,7933.43,4229.5
67108864,1,12720.98,5275.98,15860.98,4231.07
134217728,1,25370.42,5290.92,31716.09,4231.85
268435456,1,61500.35,5235.01,63426.31,4232.24
