#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:03101] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:03101] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6446.65
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.2,0,0.26,0
1,1000,0.2,5,0.26,3.88
2,1000,0.19,10.34,0.26,7.76
4,1000,0.19,20.73,0.26,15.5
8,1000,0.19,41.79,0.26,30.93
16,1000,0.19,84.91,0.26,61.56
32,1000,0.22,142.76,0.26,121.95
64,1000,0.22,286.75,0.27,239.37
128,1000,0.31,414.33,0.28,461.6
256,1000,0.33,776.97,0.3,861.52
512,1000,0.39,1314.64,0.34,1519.92
1024,1000,0.5,2064.81,0.42,2459.87
2048,1000,0.74,2755.05,0.58,3560.97
4096,1000,1.12,3670.02,0.89,4587.77
8192,1000,1.87,4392.47,1.53,5360.64
16384,1000,2.96,5531.41,2.8,5853.7
32768,1000,4.79,6850.19,5.34,6135.88
65536,640,8.18,8015.95,10.42,6287.43
131072,320,14.77,8877.74,20.59,6366.04
262144,160,13.1,20046.23,40.92,6406.09
524288,80,25.29,20811.42,81.58,6426.31
1048576,40,60.35,17397.18,162.91,6436.46
2097152,20,142,14782.99,325.57,6441.55
4194304,10,322.88,13004.12,650.87,6444.1
8388608,5,890.37,9423.55,1301.49,6445.38
16777216,2,2294.35,7312.99,2602.73,6446.01
33554432,1,5220.46,6427.72,5205.2,6446.33
67108864,1,10445.34,6424.85,10410.14,6446.49
134217728,1,20883.19,6427.11,20820.02,6446.57
268435456,1,41660.43,6443.44,41639.78,6446.61
