#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:17104] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:17104] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6442.81
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.2,0,0.26,0
1,1000,0.2,5.11,0.26,3.91
2,1000,0.19,10.56,0.26,7.82
4,1000,0.19,21.09,0.26,15.62
8,1000,0.19,42.51,0.26,31.16
16,1000,0.19,86.21,0.26,62.02
32,1000,0.22,142.6,0.26,122.87
64,1000,0.22,286.09,0.27,241.14
128,1000,0.31,420.34,0.28,464.87
256,1000,0.33,765.35,0.3,867.17
512,1000,0.39,1307.69,0.33,1528.61
1024,1000,0.49,2080.37,0.41,2470.96
2048,1000,0.74,2759.35,0.57,3571.98
4096,1000,1.12,3667.36,0.89,4595.92
8192,1000,1.87,4372.95,1.53,5364.87
16384,1000,2.97,5515.35,2.8,5854.64
32768,1000,4.81,6821.96,5.34,6134.66
65536,640,8.17,8026.09,10.43,6284.96
131072,320,14.75,8893.26,20.6,6362.91
262144,160,13.39,19649.01,40.94,6402.61
524288,80,25.66,20531.6,81.63,6422.65
1048576,40,61.07,17195.42,163.01,6432.72
2097152,20,143.13,14669.04,325.76,6437.76
4194304,10,322.89,13002.57,651.26,6440.29
8388608,5,892.82,9398.56,1302.27,6441.55
16777216,2,2297.35,7303.46,2604.28,6442.18
33554432,1,5230.71,6415.25,5208.3,6442.5
67108864,1,10450.02,6422.18,10416.33,6442.66
134217728,1,20894.28,6423.93,20832.41,6442.74
268435456,1,41689.3,6439.22,41664.57,6442.77
