#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:13477] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:13477] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.66 bandwidth[Mbytes/sec] = 5619.94
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.4,0,0.66,0
1,1000,0.4,2.5,0.66,1.51
2,1000,0.4,5.03,0.66,3.02
4,1000,0.4,10.06,0.66,6.03
8,1000,0.4,20,0.66,12.04
16,1000,0.4,40.11,0.67,24.04
32,1000,0.56,56.84,0.67,47.87
64,1000,0.56,114.17,0.67,94.93
128,1000,0.87,146.51,0.69,186.71
256,1000,0.92,278.12,0.71,361.41
512,1000,1.11,459.74,0.75,679.15
1024,1000,1.31,779.62,0.84,1211.85
2048,1000,2.09,978.23,1.03,1993.78
4096,1000,3,1363.62,1.39,2943.35
8192,1000,4.8,1708.92,2.12,3863.34
16384,1000,7.39,2220.17,3.58,4578.95
32768,1000,12.95,2532.36,6.49,5046.32
65536,640,23.59,2780.97,12.32,5317.7
131072,320,42.92,3057.43,23.99,5464.64
262144,160,14.01,18774.91,47.31,5541.2
524288,80,25.33,20791.8,93.95,5580.29
1048576,40,57.42,18303.52,187.24,5600.05
2097152,20,142.06,14777.09,373.83,5609.97
4194304,10,297.56,14099.32,746.99,5614.95
8388608,5,618.71,13560.75,1493.31,5617.44
16777216,2,1913.74,8768.75,2985.97,5618.69
33554432,1,5548.54,6048.62,5971.27,5619.31
67108864,1,11885.14,5646.88,11941.87,5619.63
134217728,1,23777.12,5645.1,23883.08,5619.78
268435456,1,47474.85,5654.55,47765.51,5619.86
