X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;5,54;0;-206,4;0
1;1000;5,58;0,18;-206,4;0
2;1000;5,57;0,36;-206,4;-0,01
4;1000;5,58;0,73;-206,4;-0,02
8;1000;6,12;1,45;-206,4;-0,04
16;1000;7,22;2,89;-206,39;-0,08
32;1000;5,96;5,8;-206,39;-0,16
64;1000;6;11,58;-206,38;-0,31
128;1000;6,19;22,85;-206,37;-0,62
256;1000;5,62;45,85;-206,34;-1,24
512;1000;6,02;90,66;-206,28;-2,48
1024;1000;6,3;163,67;-206,17;-4,97
2048;1000;6,17;336,09;-205,95;-9,94
4096;1000;7,07;582,3;-205,5;-19,93
8192;1000;7,53;1092,47;-204,59;-40,04
16384;1000;11,01;1686,64;-202,79;-80,79
32768;1000;15,96;2067,76;-199,18;-164,51
65536;640;30,51;2160,11;-191,96;-341,4
131072;320;43,55;3037,75;-177,53;-738,32
262144;160;63,75;4194,85;-148,66;-1763,4
524288;80;98,15;5440,01;-90,92;-5766,53
1048576;40;165;6505,19;24,56;42696,33
2097152;20;311,39;6783,6;255,52;8207,54
4194304;10;612,4;6852,08;717,43;5846,31
8388608;5;1470,53;5705,39;1641,25;5111,1
16777216;2;3172,97;5288,3;3488,9;4808,74
33554432;1;6378,25;5261,31;7184,2;4670,58
67108864;1;12720,98;5275,98;14574,81;4604,44
134217728;1;25370,42;5290,92;29356,01;4572,07
268435456;1;61500,35;5235,01;58918,41;4556,05
